CODCID;UF;NOMECID;DDD;CODREG;DISTANCIA;DTALTER;DESCRICAOCORREIO;SEQENTREGA;POPULACAO;CODMUNFIS;VLRFRETEMIN;VLRFRETETON;TIPOFRETE;VLRFRETEKM;VLRTAXAENT;CODMUNSIAFI;CODMUNDMS;LATITUDE;LONGITUDE;VENDAMIN;CODMUNDIEF;QTDDIASSUB;QTDSUB;TEMSUBSTITNFSE;TIPCANCNFSE;VLRLIMCANCNFSE;MOTCANCSUBNFSE;METARREDVLRISS;MAXNOTALOTENFSE;NFSETEMPLATESUBST;TIPOCNAE;NUVERSAO;LINKAGUA;LINKENERGIA;LINKIPTU;TIMPARCPREFEITURA;NOFORMATLC116;CNAEFULLNFSE;NOINSCMUNPAR;GERCODNATISSJSON;ENVITENSSEPJSON;QTDMAXENVITENSJSON;OBSJSONENOTAS;PERMCANCNFSESUBSTIT;JSONSEMALIDENMUN;VMINRETENCAOISS;ACTCANEXNT;ENVFPJSON;CODPARCNFSE;REMZEROESQUERDLC116;INFQTDVLRUNIJSON;ENVMULEMAILJSON;GERNUNFSEINFCPM;ATUNUVERSAO;ENVTAGDESCONJSON;MASCARALC116;GERCNAEMULTJSON;REGESPTRIB;ENVCODIGONBSJSON;MASCARANBS;ENVTPSERVJSON
0;0;<SEM DESCRIÇÃO>;0;0;0;###############################################################################################################################################################################################################################################################;;;;;;;C;;;;;;;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;10;FERNANDO DE NORONHA;81;0;;21/11/2019 14:41;FERNANDO DE NORONHA;;;2605459;;;C;;;;118600;0;0;;;0;0;N;1;;;;;N;;161;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;2;UBERLANDIA;34;0;;10/04/2024 16:51;UBERLANDIA;;;3170206;;;C;;;5403;453700;0;0;;;1;1;S;2;500,00;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;1;SAO PAULO;11;0;;21/01/2019 15:31;SAO PAULO;;;3550308;;;C;;;7107;714400;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;4;GOIANIA;62;0;;10/04/2024 11:51;GOIANIA;;;5208707;;;C;;;9373;25300;0;0;;;0;0;N;4;;1;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;11;PORTO VELHO;69;0;;21/01/2019 15:35;PORTO VELHO;;;1100205;;;C;;;3;76100;0;0;;;0;0;N;4;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;18;MANAUS;92;0;;21/01/2019 15:37;MANAUS;;;1302603;;;C;;;255;87100;0;0;;;0;0;N;3;;1;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;21;FORTALEZA;85;0;;21/01/2019 15:39;FORTALEZA;;;2304400;;;C;;;1389;180800;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;4;ABADIA DE GOIAS;62;0;;21/01/2019 15:41;ABADIA DE GOIAS;;;5200050;;;C;;;1050;149600;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;2;ABADIA DOS DOURADOS;34;0;;21/01/2019 15:26;ABADIA DOS DOURADOS;;;3100104;;;C;;;4001;445400;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
